V1,gene,logfoldchanges,pvals,pvals_adj,neg_log_pvals,point_color,regulation,label
118,SND1,0.5417118,2.04018712759269e-84,3.99638985303982e-82,81.3983321523867,black,NS,
119,EHHADH,1.7216207,1.94824621029098e-83,3.79785657380008e-81,80.4204614404372,red,Up,
120,ARHGAP30,0.76752406,2.40584675214395e-83,4.66734269915927e-81,80.3309303099163,black,NS,
121,SGK3,0.8318535,9.28130002553875e-83,1.79195702694038e-80,79.7466724093985,black,NS,
122,LIMCH1,1.1012983,1.89815778529262e-82,3.64735537867274e-80,79.4380219193083,red,Up,
123,TTC7B,1.6500728,7.29136597494587e-82,1.39441326929391e-79,78.8556084931143,red,Up,
124,MOB1A,0.6682443,1.15798024133977e-79,2.18349620086647e-77,76.6608475593846,black,NS,
125,MBOAT2,0.85623395,1.38611692291431e-78,2.58947176265918e-76,75.5867888204593,black,NS,
126,IL2RA,1.4270216,9.09056339376188e-78,1.66737460938673e-75,74.7779668161814,red,Up,
127,RBM3,0.8687929,1.42931970946029e-77,2.60976963421456e-75,74.5833978263801,black,NS,
128,EIF4G1,0.7965979,2.86913621225539e-77,5.14557264164131e-75,74.2885662863503,black,NS,
129,LY75,0.5487278,5.78232221717288e-77,1.01890072535965e-74,73.9918681285832,black,NS,
130,TRIP10,0.87400657,5.54430579579005e-76,9.68501417626494e-74,73.0138997392537,black,NS,
131,HSP90AA1,0.5813134,1.02700347886746e-75,1.78627777496809e-73,72.7480510052708,black,NS,
132,PARVB,1.7495414,1.39943004582103e-75,2.41323936790471e-73,72.6173995985204,red,Up,
133,ICAM1,0.9241077,1.52635904411583e-75,2.6209208573686e-73,72.5815460930279,black,NS,
134,RAD21,0.7025838,3.38208304464522e-75,5.75838881930481e-73,72.2396990139322,black,NS,
135,ELL2,0.9953822,9.87213636414069e-75,1.67378338893196e-72,71.7763007465091,black,NS,
136,NFATC2,0.9382052,1.53019848257845e-74,2.55151112268618e-72,71.5932025341275,black,NS,
137,IL4R,0.7976783,1.63033602959645e-74,2.70729709737761e-72,71.5674640823633,black,NS,
138,UBE2W,0.70083505,4.30787029629668e-74,7.09515029372096e-72,71.1490384006234,black,NS,
139,SEMA7A,1.4303429,7.74699753256138e-74,1.26561475479318e-71,70.8976984707238,red,Up,
140,GRINA,0.8817062,1.48748452875074e-73,2.42028127839314e-71,70.6161341585835,black,NS,
141,TNFRSF11B,3.0774248,2.12315875601875e-73,3.44071092862927e-71,70.4633518131026,red,Up,
142,HSP90B1,0.85670334,3.79694054620748e-73,6.05589505614879e-71,70.2178216594212,black,NS,
143,DPYSL2,0.81724495,4.38504209067407e-73,6.96634718279056e-71,70.1569948853454,black,NS,
144,SOX5,1.3489772,4.76301844613825e-73,7.53714981719885e-71,70.1227928520977,red,Up,
145,CAP1,0.57830304,1.49604386855648e-71,2.34896350910471e-69,68.629123729888,black,NS,
146,MOB3A,0.898118,1.73697349090739e-71,2.71668039942228e-69,68.5659614506257,black,NS,
147,EMB,0.85558456,1.00624097942666e-70,1.55570252880553e-68,67.8080734423392,black,NS,
148,NES,3.258524,2.62245779689299e-70,4.02362802358273e-68,67.3953821757584,red,Up,
149,HYOU1,0.98447555,3.4370036137626e-70,5.2534079478238e-68,67.2795588732099,black,NS,
150,C3orf18,2.5054586,4.46496469503821e-70,6.79887756128988e-68,67.1675627798194,red,Up,
151,SERPINB8,1.2384455,1.14855723506562e-69,1.74235268982586e-67,66.7588639298441,red,Up,
152,LRRC8D,0.7215676,1.29781586805966e-69,1.96140321752597e-67,66.7074331166099,black,NS,
153,CD84,0.88165224,3.89152656497402e-69,5.81595851666043e-67,66.2353786998192,black,NS,
154,CABIN1,0.92438036,2.68970997392873e-68,3.99026385544016e-66,65.3989983857236,black,NS,
155,YWHAG,0.7709098,2.83691013579293e-68,4.19322336261964e-66,65.3774520031892,black,NS,
156,PTPRF,2.0269244,3.25321406427802e-68,4.79101072707105e-66,65.3195728567556,red,Up,
157,TUBB2B,4.0700564,6.18903125259902e-68,9.08144687654093e-66,65.0418449531928,red,Up,
